Sample,Group,Batch,Annotation
NGF2-1-5,1,1,Y
NGF2-1-6,1,1,N
NGF2-1-7,1,1,O
NGF2-2-5,2,1,Y
NGF2-2-6,2,1,Y
NGF2-2-7,2,1,Y
NGF2-3-5,3,1,Y
NGF2-3-6,3,1,Y
NGF2-3-7,3,1,Y
NGF2-7-5,7,1,Y
NGF2-7-6,7,1,N
NGF2-7-7,7,1,N
NGF2-C-5,C,1,O
NGF2-C-7,C,1,N
NGF2-1-1,1,2,N
NGF2-1-2,1,2,Y
NGF2-1-3,1,2,Y
NGF2-2-1,2,2,Y
NGF2-2-2,2,2,Y
NGF2-2-3,2,2,Y
NGF2-3-1,3,2,Y
NGF2-3-2,3,2,Y
NGF2-3-3,3,2,Y
NGF2-7-1,7,2,N
NGF2-7-2,7,2,Y
NGF2-7-3,7,2,N
NGF2-C-1,C,2,N
NGF2-C-2,C,2,N
NGF2-C-3,C,2,N
NGF2-1-10,1,3,O
NGF2-1-8,1,3,O
NGF2-1-9,1,3,O
NGF2-2-10,2,3,Y
NGF2-2-8,2,3,Y
NGF2-2-9,2,3,Y
NGF2-3-10,3,3,Y
NGF2-3-8,3,3,N
NGF2-3-9,3,3,Y
NGF2-7-10,7,3,Y
NGF2-7-8,7,3,Y
NGF2-7-9,7,3,Y
NGF2-C-10,C,3,N
NGF2-C-8,C,3,N
NGF2-C-9,C,3,N
NGF2-1-14,1,4,Y
NGF2-1-15,1,4,N
NGF2-1-4,1,4,N
NGF2-2-14,2,4,Y
NGF2-2-15,2,4,Y
NGF2-2-4,2,4,Y
NGF2-3-14,3,4,Y
NGF2-3-15,3,4,Y
NGF2-3-4,3,4,Y
NGF2-7-14,7,4,N
NGF2-7-15,7,4,Y
NGF2-7-16,7,4,N
NGF2-7-4,7,4,O
NGF2-C-14,C,4,N
NGF2-C-15,C,4,N
NGF2-C-4,C,4,N
NGF2-1-11,1,5,Y
NGF2-1-12,1,5,N
NGF2-1-13,1,5,Y
NGF2-2-11,2,5,Y
NGF2-2-12,2,5,Y
NGF2-2-13,2,5,Y
NGF2-3-11,3,5,Y
NGF2-3-12,3,5,Y
NGF2-3-13,3,5,Y
NGF2-7-11,7,5,Y
NGF2-7-12,7,5,O
NGF2-7-13,7,5,O
NGF2-C-11,C,5,N
NGF2-C-12,C,5,N
NGF2-C-13,C,5,N
